ExpID;Date;DPI_L_L;DPI_L_H;Supply_N_L;Substrate_N_L;Supply_N_H;Substrate_N_H;Tmean_L_L;Tmean_L_H
GH1;04.04.2017;9.995418556;24.64577475;2.900974402;2.848397072;9.82196772;7.867330841;22.94954091;23.54052173
GH1;05.04.2017;5.328535764;12.53660253;2.887162576;3.029837872;9.624991596;7.761820274;23.95742989;22.52910992
GH1;06.04.2017;9.667867886;23.73856736;2.930886142;2.885151142;9.675273526;8.020297146;22.15066428;22.09569014
GH1;07.04.2017;5.286304353;13.68820355;2.922207818;2.845005583;9.779346908;7.811014578;22.43060298;22.48031031
GH1;08.04.2017;6.681658985;15.17730849;2.890464775;1.927521832;12.0268406;9.652465542;22.79808889;23.33472827
GH1;09.04.2017;6.294047051;15.47688454;2.938640122;2.04803358;11.90558317;10.00539688;23.76545797;24.58478553
GH1;10.04.2017;6.948916816;15.79387871;2.89891605;2.020315998;12.08802982;9.695338366;22.74560645;23.07102942
GH1;11.04.2017;5.67943715;14.74935616;2.941349296;1.957834159;11.8617881;9.644235587;22.28790422;22.27790462
GH1;12.04.2017;4.403256499;11.17249754;2.881692756;2.111974092;12.02614438;9.880199057;21.85131358;21.49851823
GH1;13.04.2017;7.071046285;16.43896312;2.887308274;2.018305218;11.94786123;9.755998348;22.40559643;22.3385037
GH1;14.04.2017;8.339937647;21.30419458;3.523779189;0.15868411;10.82892335;6.849123201;23.02323945;22.82661197
GH1;15.04.2017;6.481298051;14.3127772;3.519504858;0.117723773;10.84330218;7.136132129;22.24509777;21.94267526
GH1;16.04.2017;9.329764424;21.42845512;3.545101229;0.257837706;11.00776578;6.910671792;22.92509354;22.62794199
GH1;17.04.2017;10.03092411;22.13428466;3.520271512;0.043926034;10.93230323;7.293155575;23.06915719;22.98202032
GH1;18.04.2017;5.863173018;14.113686;3.503981789;0.089200026;10.83812505;6.94807222;22.32516914;22.22082866
GH1;19.04.2017;10.81449061;23.36810273;3.494097936;0.212506641;11.02285059;7.065577928;22.91289279;23.52041396
GH1;20.04.2017;15.87003448;36.42936738;3.552298137;0.173911267;10.88582631;6.999572538;23.38925454;24.19363971
GH1;21.04.2017;7.166565846;16.49477303;3.444597237;0.052350522;10.56909337;3.871231502;22.6301456;23.16365447
GH1;22.04.2017;10.4260115;23.12995914;3.383051503;0.195174505;10.71611644;3.708191839;22.57087627;23.3591896
GH1;23.04.2017;8.458073372;20.16754989;3.42561534;0.114141581;10.6081175;3.91024197;22.48367964;22.67654959
GH1;24.04.2017;9.375774462;22.02021422;3.406611732;0.081026632;10.62563205;4.091544488;22.5531356;23.56949269
GH1;25.04.2017;9.640710867;22.28063129;3.43688387;0.045830495;10.5253612;3.714252326;22.54484982;23.80360933
GH1;26.04.2017;14.40256374;34.61687502;3.42383969;0.228224799;10.56544091;3.820944951;23.18229639;24.24459179
GH1;27.04.2017;13.51987907;30.27610943;3.387030588;0.163504824;10.46508202;3.78078342;23.29822239;24.1793637
GH1;28.04.2017;10.70009087;26.55227093;3.38030237;0.26380767;10.4882219;3.71571417;23.2671832;23.76212457
GH1;29.04.2017;12.00192502;27.0568382;2.678955662;0.25131523;8.377088681;5.492015707;23.5118303;24.30238828
GH1;30.04.2017;18.04064144;41.13408711;2.704334099;0.065073968;8.386701542;5.336354499;24.24977913;25.0703436
GH1;01.05.2017;13.48236376;30.59892061;2.689563765;0.154118308;8.48339122;5.280638783;23.61834194;24.54080636
GH1;02.05.2017;3.395028539;7.145364869;2.748172317;0.054682937;8.227278506;5.450609953;22.05013567;22.23177074
GH1;03.05.2017;10.99434396;25.47506267;2.719006315;0.180730034;8.205942766;5.382708188;23.24585002;23.68293097
GH1;04.05.2017;2.949139552;7.703299153;2.724015531;0.16188538;8.496024403;5.444988872;21.75603325;22.08406823
GH1;05.05.2017;2.406048959;5.012936491;2.745575036;0.164520989;8.20096492;5.451512057;21.92283382;21.63870545
GH1;06.05.2017;9.029093938;21.63402791;2.710251809;0.10202529;8.385847809;5.558462876;23.26007104;24.38000769
GH1;07.05.2017;10.41204832;23.60634762;2.702191841;0.180076116;8.253664333;5.630334311;24.1094458;25.43359723
GH1;08.05.2017;3.728720392;8.640691413;2.74605287;0.220390742;8.496559482;5.399669517;22.09320745;22.60106084
GH1;09.05.2017;14.50429953;32.75097361;2.700412271;0.207337298;8.457287272;5.54868681;23.65683398;24.42737561
GH1;10.05.2017;12.80863005;30.38828723;2.674135196;0.021824376;8.500506702;5.521549973;23.3901664;25.34096117
GH1;11.05.2017;18.39733384;43.61682527;2.746852685;0.14310726;8.388128936;5.308495526;24.17279279;24.95934584
GH1;12.05.2017;11.69334192;25.4439672;2.697390653;0.25487311;8.201723897;5.421098455;23.9849063;24.69434176
